transaction_id,wallet_id,merchant_id,amount_cents,currency,status,decline_reason,payment_method,created_at
tx_00049214,w_004004,m_0084,5444,EUR,authorized,,sdd,2025-06-20 03:53:22
tx_00061761,w_005037,m_0127,2597,EUR,authorized,,card,2025-12-21 04:09:05
tx_00000922,w_000078,m_0245,4224,EUR,authorized,,sdd,2025-12-31 22:52:40
tx_00039467,w_003183,m_0073,4183,EUR,authorized,,sdd,2025-09-15 10:57:32
tx_00064192,w_005229,m_0074,3548,EUR,authorized,,sdd,2025-07-23 22:00:48
tx_00073166,w_005940,m_0248,5326,EUR,declined,insufficient_funds,card,2025-12-09 00:10:45
tx_00038491,w_003112,m_0073,3735,EUR,authorized,,card,2025-07-29 09:38:53
tx_00048025,w_003899,m_0259,4197,EUR,authorized,,sdd,2025-11-22 17:59:29
tx_00071652,w_005824,m_0222,4897,EUR,authorized,,sdd,2025-05-20 18:03:48
tx_00022964,w_001860,m_0027,3704,EUR,authorized,,card,2025-12-02 13:37:07
tx_00037260,w_003012,m_0095,6398,EUR,declined,insufficient_funds,card,2025-12-09 07:01:38
tx_00000338,w_000026,m_0052,4790,EUR,authorized,,card,2025-12-07 13:45:51
tx_00066802,w_005451,m_0066,2902,EUR,authorized,,sdd,2025-12-04 20:13:51
tx_00001411,w_000127,m_0317,10221,EUR,authorized,,sdd,2025-12-18 15:11:57
tx_00042476,w_003417,m_0309,4735,EUR,authorized,,sdd,2025-12-24 04:12:19
tx_00029655,w_002414,m_0065,4438,EUR,authorized,,card,2025-12-29 19:08:28
tx_00057961,w_004735,m_0031,1862,EUR,authorized,,sdd,2025-11-07 17:39:21
tx_00015321,w_001235,m_0224,19635,EUR,authorized,,sdd,2025-07-08 05:27:12
tx_00005379,w_000433,m_0143,1102,EUR,authorized,,sdd,2025-10-15 14:45:49
tx_00065292,w_005316,m_0190,5422,EUR,authorized,,sdd,2025-10-21 19:54:39
tx_00026331,w_002153,m_0230,3628,EUR,authorized,,sdd,2026-01-01 08:13:39
tx_00026835,w_002194,m_0038,5387,EUR,authorized,,sdd,2025-09-08 13:11:37
tx_00058333,w_004762,m_0112,4475,EUR,authorized,,sdd,2025-12-24 08:04:36
tx_00038298,w_003097,m_0149,4142,EUR,authorized,,sdd,2025-10-07 23:33:52
tx_00074319,w_9476114,m_0056,16470,EUR,authorized,,card,2025-08-10 10:28:45
tx_00009819,w_000793,m_0309,1166,EUR,reversed,,card,2025-09-21 17:31:10
tx_00052476,w_004282,m_0219,7344,EUR,authorized,,sdd,2025-11-20 12:44:58
tx_00031182,w_002539,m_0289,2757,EUR,reversed,,card,2025-03-20 11:20:07
tx_00020449,w_001668,m_0047,2060,EUR,authorized,,sdd,2025-04-12 16:02:43
tx_00032317,w_002630,m_0008,18980,EUR,declined,suspected_fraud,card,2025-11-28 00:19:06
